,txt,score
0,"Świetny telewizor nie jestem żadnym napalonym kino maniakiem a to już mój trzeci  SONY i nie zamienił bym tej marki na żadną inną.<br/>
Zarówno obraz z TV naziemnej jak i z dekodera NC+ igła.",5/5
0,Za tą cenę bez żadnych zarzutów.,5/5
0,"Bardzo dobra jakość obrazu, szybkie działanie poszczególnych funkcji. Super rozwiązanie z dwoma opcjami usadowienia podstawy telewizora",5/5
0,"Wszystko co jest opisane i omówione w testach tego TV jest faktem czyli. Bardzo dobra jakość obrazu. Bardzo dobre kolory i kontrast. Dźwięk przestrzenny ale jakość/moc średnia, bez niskich tonów. Dobra czerń i local dimming. Kąty widzenia jak w testach do 30° nic złego się nie dzieje przy 40-45° widać różnicę: kolor blaknie, czerń przestaje być czarna a biały szarzeje. Pilot fajny w obsłudze paruje się bez problemu z tunerem Polsatu a sam tv z soundbarem Samusng. Google TV bez zarzutu.<br/>
Nie odkryłem przez 3 tyg. żadnych wad, których nie byłem świadom przed zakupem.",5/5
0,Ok,4/5
0,"Telewizor ładny ale to wszystko co mogę o nim powiedzieć, zaraz po pierwszym uruchomieniu i skonfigurowaniu ujawniła się usterka .Telewizor prześwietlił matrycę pokazały się  okropne jasne chmury obraz mocno zamglony i  bez powodu się wyłączył a następnie po kilku sekundach włączył i tak cały czas , włącza się i wyłącza sam automatycznie nie reaguje na polecenia pilota ani przycisk wyłączający przy telewizorze.<br/>
Zgłosiłem sprawę do serwisu i czekam na naprawę.","0,5/5"
0,"Bardzo słabe oprogramowanie jak na TV za taką cenę. Nie można ustawić jednej listy ulubionych z programami sat. i naziemnymi. EPG tylko z góry na dół ,tak samo ustawianie ulubionych , nie można ustawić w pętli. Byle jaki chiński tuner za 400zł  to potrafi a najnowszy Samsung nie. Po ustawieniu listy ulubionych trzeba jeszcze ręcznie zmienić numer każdemu kanałowi .Żeby oglądać satelitę trzeba wyjść z naziemnej i przełączyć na sat i odwrotnie co jest bardzo denerwujące. Google chromecast za 200zł lepiej działa niż ten w samsungu. Pilot i menu trudne do opanowania i wkurzające. Jeśli chcesz oglądać sat i naziemną lepiej kupić tańszy TV + tuner z enigmą + chromecast niż tracić tyle kasy i nerwy.","1,5/5"
0,"Po wysłuchaniu kilku recenzji najbardziej obawiałem się kontrastu na wyświetlaczu, gdyż mamy tutaj do czynienia z panelem IPS. Obawy raczej bezpodstawne. Dla przeciętnego użytkownika, który nie porównuje ze spektroskopem poziomów czerni obraz jest rewelacyjny – piękne naturalne kolory, równomierne podświetlenie, super czerń, nie ma problemu gdy oglądamy trochę z boku (co ważne gdy mamy dużą kanapę). Najlepszy efekt osiągamy, gdy mamy dobre źródło obrazu w formacie 4K z HDR i siedzimy w miarę blisko ekranu, tak do max 2 m. Jeśli oglądamy zwykłą TV z anteny, to już takich rewelacyjnych wrażeń nie ma, a jeśli źródło nie jest chociaż w formacie FullHD, to już w ogóle traci sens zakup tego TV, lepiej wybrać coś tańszego. Aby wykorzystać potencjał TV trzeba go wstępnie ustawić – polecam ustawienia z serwisu rtings.com.<br/>
Jeśli miałbym oceniać tylko sam wyświetlacz to byłoby 5/5.<br/>
Gorzej jeśli idzie o oprogramowanie. System Smart działa błyskawicznie, ma wszystkie potrzebne aplikacje działa bezproblemowo – to duży plus. Tyle że wiele funkcji, którymi Samsung chwali się w reklamach i wznosiłby by ten TV na poziom genialności nie działa lub w Polsce jest nieprzydatne. <br/>
1.	Asystent głosowy jest wbrew zapewnieniom producenta tylko po angielsku. Nie rozumie polskiego języka. Asystent Google który miał być kompatybilny z TV, w polskiej wersji nie istnieje. Mamy więc ważną funkcję, pilota do którego możemy mówić i nic nam to nie daje. <br/>
2.	Łączenie TV z komputerem. W moim starym Samsungu miałem aplikację Smart View, która może była dość toporna, ale umożliwiała rzucanie z komputera np. zdjęć na ekran TV. Samsung tę aplikację ubił i zastąpił aplikację Easy Connection to Screen, która nie działa. Opcja Połącz z urządzeniem, na moim Windows z jakiegoś powodu nie działa, mimo że komputer TV widzi. Efekt taki, że mam znacznie nowszy i droższy sprzęt, a pod tym względem jest gorzej niż w 7 letnim TV.<br/>
3.	Opcja MultiView – Samsung chwali się, że można np. oglądać mecz i czytać komentarze na Twitterze. Wydawałoby się, że to będzie działać również gdy oglądając film na Netflix będziemy chcieli wrzucić sobie z komórki informacje o filmie. Ale nie. Opcja działa tylko jeśli oglądamy telewizję z kabla czy anteny. Z aplikacji działa tylko z Youtube. Ja nie korzystam w ogóle z telewizji, więc opcja MultiView zajmuje mi tylko miejsce w menu. <br/>
4.	Mamy preinstalowaną aplikację Galeria. Potencjalnie genialne rozwiązanie, gdyby działało tak, że Galeria łączy się z chmurą w której mam zdjęcia robione w moim telefonie Samsung. Miałbym na bieżąco uzupełnianą galerię zdjęć, którą można by przejrzeć na TV. Ale nie, Samsung wymaga tworzenia jakichś specjalnych udostępnionych albumów, nie mam komu ich udostępniać, więc aplikacja Galeria jest zupełnie pusta. <br/>
<br/>
Reasumując pięknie wyglądający sprzęt, ze świetnym wyświetlaczem i niedopracowanym (szczególnie dla Polski) oprogramowaniem. <br/>
",4/5
0,"To nasz kolejny telewizor marki Samsung i kolejny raz trafiony wybór :)<br/>
Na ścianie prezentuje się fantastycznie. Jest smukły i elegancki. Niesamowita głębia kolorów i czysty dźwięk sprawiają, że oglądając film można poczuć się jak na seansie w kinie. Dostępne są aplikacje YouTube, Netflix, Amazon Prime czy HBO GO. Ciekawym rozwiązaniem jest także dołączony pilot Smart ładowany na baterię słoneczną. Telewizor posiada Tuner DVB T2 (HEVC), gotowy jest więc na poprawny odbiór sygnału cyfrowego w 2022 r. <br/>
Polecam serdecznie. To idealny zakup dla całej rodziny. <br/>
#AkcjaKorzyscWkazdymCalu<br/>
",5/5
0,"Przystępna cena, jak za taką jakość. Telewizor dosłownie prowadzi za rękę z konfiguracją wszystkich parametrów, przez telefon jest jeszcze prostsze niż odklikiwanie na pilocie. Ze względu na rodzaj wykonywanej pracy mam bzika na punkcie ustawienia kolorystyki telewizora, a tu praktycznie robiłem tylko pomniejsze korekty ustawień obrazu. Przyznam, że Samsung sprawił się zarówno pod kątem jakości wykonania samego telewizora jak i oprogramowania. <br/>
Jedyny minus to słabe opisywanie swoich modeli. Wpisują rodzaj użytej technologii i nie do końca wyjaśniają jej formę. W moim przypadku musiałem trochę pogrzebać po internecie aby ostatecznie zdecydować się na serię 8. Serie 6 i 7 zeszłorocznych modeli telewizorów to w zasadzie podświetlenie krawędziowe matrycy, któremu osobiście nie do końca ufam. ",5/5
0,"*SAMSUNG na którego czekałem*<br/>
<br/>
To już kolejny telewizor firmy Samsung który zagościł w moim domu. Niesamowita jakość obrazu przykuła mój wzrok w momencie wejścia do sklepu, gdy dodamy do tego świetne 60 watowe głośniki robi się w domu małe kino! Największymi zaletami tego telewizora w mojej opinii to właśnie obraz który dzięki swojej 120hz matrycy pozwala na bardzo komfortowe oglądanie wszystkich gatunków filmów, dźwięk jest bardzo przestrzenny dzięki czemu można bardziej wczuć się w oglądany film! Złącze hdmi 2.1 pozwala na wykorzystanie w stu procentach podpiętej do niego konsoli. Neo Qled zrobił na mnie wrażenie od pierwszego wejrzenia.Szybkość działania tv i jego menu jest zdecydowanie na plus – poruszanie się po menu jest rewelacyjne . Mini ledy biją konkurencję w wyższym przedziale cenowym z wykorzystaniem technologii Oled. Kolory, ostrość obrazu w 4K, kontrast, czerń, jasność są rewelacyjne.Tv ma super obraz zarówno w jasnym jak i ciemnym pomieszczeniu.Sprzęt godny polecenia!!! #AkcjaKorzyscWkazdymCalu.",5/5
0,"#AkcjaKorzyscWkazdymCalu <br/>
Jestem bardzo zadowolony z zakupu telewizora Neo QLED Samsunga. W jasnym salonie telewizor sprawdza się świetnie, fajne kolory patrząc na wprost jak i pod dużym kątem, jasność ekranu i rewelacyjny dźwięk z 60W głośników. Smart TV i wszystkie funkcje, które dopiero poznaję robią bardzo dobre wrażenie i w mojej ocenie są dosyć łatwe do opanowania i zabawa nimi daje dużo frajdy. Telewizor jak na mój gust bardzo dobrze prezentuje się i poprawia widok salonu. Podoba mi się także prosty (wręcz ""ascetyczny""), mały pilot do telewizora, który jest łatwy w obsłudze. Decyzje o zakupie telewizora Samsunga podjąłem po tygodniu przeglądania ofert, czytania opinii i recenzji. Początkowo chciałem kupić OLEDa w podobnej cenie ale w związku z tym, że ta technologia (pomimo tego, że jest bardzo nowoczesna} to nie do końca sprawdza się w jasnych pokojach ze względu na stosunkową nisko jasność ekranu, zdecydowałem się na Neo QLED Samsunga i się udało :-}. POLECAM",5/5
0,Kawał solidnego telewizora. Spodobało mi się poglośnienie telewizora gdy wszedłem do pokoju z odkurzaczem. Poza tym świetny o raz po podłączeniu PC.,4/5
0,"Ogólnie dobry telewizor<br/>
Przed włączeniem telewizora pierwsze wrażenie - telewizor cienki i elegancki, bardzo dobrze się prezentuje. To zdanie z opisu zdecydowanie tu pasuje: ""Pełen wdzięku, ultra smukły design telewizora QN85A sprawia, że prezentuje się on wyśmienicie z każdej strony, a na ścianie wygląda niczym dzieło sztuki"". Do tego dochodzi pilot na którym na pierwszy rzut oka znajduje się mało przycisków, na poprzednim pilocie miałem ponad 40 przycisków, tutaj nie ma nawet 20, ale dwa razy lepiej się go obsługuje. Do tego pilota można naładować energią słoneczną! Funkcja, która pozwala włączyć telewizor telefonem, a także głos który dostosowuje się do otoczenia i wiele innych, które najlepiej samemu sprawdzić ! #AkcjaKorzyscWkazdymCalu","4,5/5"
0,"Zdecydowałem się na zakup telewizora Samsung Neo QLED 2021 QE55QN85A po przeczytaniu kilku opinii w internecie oraz po rozmowie ze sprzedawcami z dwóch różnych dużych sieci zajmujących się sprzedażą sprzętu RTV. Telewizor kupiłem w sklepie internetowym kajt24.pl ponieważ był 500 zł tańszy niż w sklepach stacjonarnych. Co do obsługi sprzedażowej sklepu nie mam żadnych zastrzeżeń. Telewizor został dostarczony w ciągu 3 dni roboczych. Co prawda nie był fabrycznie zapakowany (brak taśm ściągających pudło oraz taśma firmowa sklepu), ale być może obsługa sklepu sprawdza przed wysyłką czy matryca nie jest uszkodzona mechanicznie. <br/>
Wygląd: moim zdaniem telewizor może się podobać, jest bardzo cienki, w porównaniu do innych telewizorów z tylnym podświetlaniem jest ok. 4 razy cieńszy. Wygląda bardzo elegancko dzięki cieniutkiej metalowej ramce wokół ekranu. Oczywiście wygląd to kwestia gustu, ale w moim odczuciu może się podobać. Pilot nie wszystkim przypadnie do gustu, szczególnie tradycjonalistom przyzwyczajonym do klawiszy numerycznych. Tych po prostu na pilocie nie ma. Co prawda pilot oferuje obsługę głosową, ale w języku angielskim. Jeden ze sprzedawców twierdził, że obsługuje również asystenta google, ale ja go na razie nie odkryłem, korzystam z samsungowskiego bixby. Duży plus za ładowanie światłem i możliwość ładowania ładowarką smartfona.<br/>
Podłączenie: Instalacja zajęła mi dosłownie 10 minut łącznie z podłączeniem wszystkich kabli. Po włączeniu telewizora, na ekranie pojawiły się pytania i opcje do wyboru, wszystko przebiegło bez żadnych problemów. Telewizor również pobrał najnowszą aktualizacje po skonfigurowaniu wifi. Również skonfigurowanie obsługi przez telefon jest bardzo proste.<br/>
Obraz: Po włączeniu telewizora obraz robi bardzo dobre wrażenie. Kontrast bardzo dobry, kolory głębokie i naturalne, w 4K obraz doskonały, na PS4 również bez zarzutu, podobnie jeśli chodzi o płyty blu-ray. Z dekodera Vectry, w zależności od kanału, obraz jest raz lepszy, raz odrobinę gorszy, generalnie jest naprawdę dobrze. Problem z obrazem zauważyłem dopiero wieczorem, przy zgaszonym świetle i oglądaniu serialu na Netflixie przy ciemnych scenach, zauważyłem duże jaśniejsze plamy, szczególnie w jednym rogów ekranu plama była stosunkowo duża. Wyglądało to jakby matryca była nierówno podświetlana. Na drugi dzień zgłosiłem zauważony problem pomocy technicznej Samsunga. Wykonałem zdjęcia ekranu i przesłałem do pomocy technicznej. Niestety, pomimo tego, że rozmawiałem z 3 różnymi osobami, żadna z nich nie potrafiła skutecznie rozwiązać zauważonego problemu. Kazano mi wyłączyć urządzenie z gniazdka, odłączyć podłączone urządzenia, proszono o przesłanie dodatkowych zdjęć ekranu z testowym obrazem samsunga itp. W końcu zaproponowano mi zgłoszenie uszkodzenia, ale jednocześnie poinformowano mnie, że jeżeli technicy stwierdzą, że obraz jest OK., będę musiał pokryć wszystkie koszty związane z przesyłką i ekspertyzą. W związku z tym zdecydowałem się poszukać rozwiązania problemu na własną rękę. Trochę to trwało, ale znalazłem na YouTubie recenzję tego modelu Samsunga z USA, w którym zauważony przeze mnie problem został omówiony szczegółowo i co więcej, wyjaśniono co należy zmienić w ustawieniach fabrycznych, aby problem nierównomiernego podświetlania zniknął. Zmiana ustawień zajęła mi minutę i od tej chwili cieszę się praktycznie nieskazitelnym obrazem. Szkoda, że pracownicy pomocy technicznej Samsunga nie mają wiedzy w jaki sposób podobne problemy rozwiązać. Po co to tym piszę? Jeżeli ktoś kupi ten telewizor za prawie 5 tyś. zł, wyjmie z pudła, włączy na ustawieniach fabrycznych spodziewając się idealnego obrazu to może się rozczarować. Ten telewizor oferuje naprawdę dobry obraz, ale wymaga indywidualnych ustawień.<br/>
Dźwięk: Moim zdaniem telewizor oferuje dobry dźwięk. Mój poprzedni telewizor (SONY KDL-55W809C) aby brzmieć dobrze musiał być podłączony do kina domowego, w przypadku Samsunga, do oglądania telewizji głośniki telewizora w zupełności wystarczą. Jeśli chodzi o filmy, czy PS, tutaj oczywiście głośniki telewizora to za mało.<br/>
Podsumowanie: Moim zdaniem, Samsung Neo QLED 2021 QE55QN85A, to bardzo dobry telewizor, oferujący bardzo dobry obraz ALE wymaga indywidualnych ustawień. Czy jest wart prawie 5 tyś. zł? Nie mam porównania z telewizorami z niższej półki cenowej (2-3 tyś), ale mam wrażenie, że cena jest odrobinę za wysoka.<br/>
<br/>
Zdjęcia pokazują obraz na ustawieniach fabrycznych.","4,5/5"
0,"Bardzo polecam. Jest drogi, są tańsze w tej klasie ale warto. Belka dźwiękowa robi robotę. Android 11,    Android Tv. Parametry zresztą jak w każdym trzeba utawic samodzielnie żeby wycisnąć maksa. Dwa piloty, ten mniejszy wystarcza. Po podłączenia komputera mam super monitor. ",5/5
0,Dzial bardzo dobrze ,5/5
0,"Fajny stick ale brak mu funkcji żyroskopu (niektóre apki muszą to mieć aby obsługa była łatwa) jest google asistant, przyciski do prime,  net... bym zamienił na klawisze programowalne i bez napisów (niech sobie właściciel wybiera co chce mieć np. Kodi pod przyciskiem lub inna apkę). Pilocik zgrabny może się pdobać stylistycznie, poza tym ogarnia zadania które mu się powierza. IPTV niemiałem okazji sprawdzić ale inne strumieniowe tak i działają ok. Moim zdaniem stick jest godny polecenia szczególnie za tą cenę.",4/5
0,"bez zastrzeżeń pod względem wykonania, bardzo przydatne urządzenie, nie obyło się jednak bez problemów, pierwszym był problem połącznia z WiFi w paśmie 5GHz - rozwiązaniem było ręczne wprowadzenie DNS na 8,8,8,8 i 8.8.4.4, nie mogę do tej pory rozwiązać problemu z wyłączeniem urządzenia, po naciśnięciu przycisku WYŁ. na pilocie urządzenia, wyłącza się na kilka sekund po czym włącza się i przy okazji włącza automatycznie TV. szczególnie upierdliwe jest to w nocy bo muszę wychodzić z łóżka i ręcznie wyciągać wtyczkę z prądu bo urządzenia nie da się wyłączyć",5/5
0,"Wszystko zgodne z opisem. Mi stick działa u mnie na 12 letnim 32 calowym tv sony bravia.  Netflix,  You toube działa bez zarzutu. Na tym mi zależało. Urządzenie wpięte za tv niewidoczne.  Plus za adapter do przedłużenia gniazda hdmi telewizora bo sam Stick ma grubszą obudowę , która uniemożliwia poprawne zainstalowanie go w gnieździe niektórych telewizorów w zależności od umiejscowienia gniazd hdmi oraz od odległości telewizora od ściany na której wisi. Szczerze polecam produkt. Dziękuję. ",5/5
0,"Nadaję nowe życia TV bez androida<br/>
",5/5
0,Po kilku chwilach użytkowania. Spełnia moje oczekiwania w 100 %,"4,5/5"
0,Produkt spelnil moje oczekiwania. Z mojego zwykłego telewizora zrobilam SmartTv za jedyne 150zl ,5/5
0,"Polecam super produkt ,łatwy w obsłudze , szybka instalacja i netflix śmiga jak talala , byłam sceptycznie nastawiona do reglamentacja z całego serca polecam ",5/5
0,"REWELACJA!!!!! Optymalne rozwiązanie dla właścicieli starszych modeli telewizorów np. Ja mam 8 letniego Samsunga i Smart nie współdziała z niektórymi aplikacjami ale co najważniejsze i kluczowe- rozwiązanie na niedziałającą w telewizorze karta sieciową czyli nie działający moduł odp za połączenie internetowy!!! Co więcej super możliwość rozszerzenia o niedostępne gratisowe app np streamer czeskiej telewizji 🤣. Po prostu super urządzenie i SUPER CENA . Dzięki polecam gorąco.<br/>
P.s. jestem 60+ i byłem gotowy wymienić sobie sam moduł na nowy 😄przegrałem min tv i na podstawie szkicu tv wiedziałem jaki moduł potrzebuje. Na szczęście producent juzvtakich nie produkuje na szczęście bo bym nie kupił tak prostego i genialnego Stick'a",5/5
0,"Wszystko wygląda i działa tak, jak miało.<br/>
Po prostym skonfigurowaniu i zainstalowaniu dodatkowych aplikacji z Google Play (np: Player, Ipla, WP Pilot) wszystko śmiga.<br/>
Starszy telewizor z ekranem 1K zyskał drugie życie.<br/>
Przy szybkim łączu internetowym (powyżej 8 Mbit/s) nic się nie zacina i nie muli (jak piszą niektórzy). Nie jest prawdą też, że urządzenie się grzeje. Po dłuższym korzystaniu TV stick robi się lekko ciepły, ale przecież telewizor też.<br/>
Każde urządzenie elektryczne i elektroniczne wydziela ciepło podczas swojej pracy, a do chłodzenia to służy lodówka (która zresztą też ""grzeje się"" z tyłu).<br/>
Dodatkowo można pilota i TV sticka zabrać ze sobą w podróż i korzystać ze swojego AndroidTV w dowolnym miejscu, w którym jest telewizor z gniazdem HDMI oraz internet wi-fi.<br/>
Polecam. <br/>
",5/5
0,"Niska cena i dobre brzmienie. Pomimo mniejszej wagi i wymiarów (głębokość) niż fabryczne, te pioneery grają dynamiczniej, niżej schodzą z basem i mają większą moc. Nie nadają się jako jedyne głośniki w aucie, bo brakuje im trochę wysokich tonów, ale ja dałem je do tyłu, a z przodu mam podobne pioneery ale z gwizdkami i całość z radiem pioneer brzmi świetnie.","4,5/5"
0,Ok,3/5
0,"Eleganckie glosniki samochodowe ladnie sie prezentuja w samochodzie,glosno graja,czysty dźwięk",5/5
0,"Eleganckie glosniki samochodowe ladnie sie prezentuja w samochodzie,glosno graja,czysty dźwięk,latwe w montarzu",5/5
0,Jełopy jak byście mieli choć trochę pojęcie o takich sprzętach to byście wiedzieli skąd taka cena tak jak macie wzmacniacze lampowe tam też cena nie jest z przypadku i tu będzie podobnie.,5/5
0,Nakamichi to nie jest 😁 ale jak się nie ma co się lubi to ........ 👍,"4,5/5"
0,Polecam,5/5
0,rewelacyjny,5/5
0,Oled z najwyższej półki. Warto mimo wszystko dokupić jakiś Soundbar ;),5/5
0,słaby zasięg ,3/5
0,Bardzo słaba antena nie polecam,3/5
0,"5,0/5",5/5
0,Beznadziejna jakoś przetworników…. Cewki działają jak chcą najpierw miały 291 ohm zamiast 300 następnie wzrosło w jednej do 320 a w drugiej do 314 tragedia nie polecam. Tragiczna jakość wysoka cena. tak samo grają jak chcą miałem 2 pary słuchawek jedna grała w miarę a druga niesamowicie płasko i tak samo rezystancja rosła ,"0,5/5"
0,"Dużo czytałem o tych słuchawkach. Posiadam je od dwóch tygodni. Jestem pod wrażeniem dźwięku jaki dają. Oczywiście źródło dźwięku musi być też właściwej jakości. Wszelkie porównania do ""zwykłych"" słuchawek nie mają sensu. Do porządnych nie porównywałem.",5/5
0,"Produkt OK. Ma swoje wady (nieco stłumiona przejrzystość), ale za to ma potężną średnicę. W moim egzemplarzu jednak mam wrażenie, że dźwięk jest nieco jakby bardziej przechylony na prawo w porównaniu z innymi egzemplarzami, choć nie wiem, może właśnie w innych jest zbyt na lewo?",4/5
0,"Znakomite i profesjonalne słuchawki doskonała dynamika, precyzja szczegółów i detali, niezastąpione do pracy z dźwiękiem podczas pracy nad mixem i mastringiem w produkcjach muzycznych, polecane również przez wielu realizatorów dźwięku. <br/>
Pełny odlot podczas słuchania muzyki.",5/5
0,"To doskonałe słuchawki, moje trzecie Sennheisery :). Trzymam się ich bo odpowiada mi ich dźwięk jego barwa, scena w dobrych nagraniach, zakres częstotliwości jakie są w stanie przekazać. Słucham głównie muzyki klasycznej, jazzu, bluesa i dawnego rocka. W każdym gatunku się sprawdzają. Laptop, a w nim Foobar2000 i WASAPI, podpięty przez USB do NuForce DDA100 lub Aune X1S to w zupełności mi wystarcza.<br/>
Mogę polecić każdemu.",5/5
0,"Produkt jest naprawdę rewelacyjny. Dźwięk jest czysty, pozbawiony skazy, czasami do przesady.<br/>
Wyglądem HD650 nie odstają od innych produktów tej marki i mimo, że można by się pokusić o elementy, które poprawiły by ich wygląd, nie można im zarzucić braku klasy. Po prawdzie mają one przede wszystkim genialnie grać, a nie wyglądać i z pewnością tym tropem kierował się producent.<br/>
Słuchawki są naprawdę wygodne. Nie upijają w żaden sposób, więc nie mam do czego się przyczepić.<br/>
Zaś ich wykonanie nie pozostawia dla mnie nic do życzenia. Rewelacja!!!",5/5
0,"Jeśli lubisz relaks, i dysponujesz odpowiednim torem (DACem) pod ten sprzęt, wybór w tej cenie będzie oczywisty. Wymiana na kabel inny niż fabryczny to pierwsza rzecz, o której należy pomyśleć przy wyborze ich. (Polecam kabel Deluxe 1,5 m - 300 zł. z przesyłką) Jeśli lubisz słuchać utworów gitarowych, ballad, wokali, soundtracków i masz DAC który wpompuję dynamikę i moc w te słuchawki (co najmniej coś pokroju Aune T1 MK3) sprawdzą się świetnie w domowym zaciszy do słuchania muzyki i pracowania przy komputerze. Słychać na zewnątrz słuchanej muzyki, ale cóż - taka konstrukcja. Słuchawki, żeby przestały grać ""sucho"" potrzebują dobre 250 godzin grania, 3 razy zmieni się w nich bass (trzeba wziąć to na klatę, tak są zbudowane) w moim wypadku mówię o modelu, który gra już dobre 300 godzin (z czego pewnie 50 tylko na ""głowie"") więc zmiany są zauważalne po wygrzewaniu średnio co - 30-50 godzin grania.<br/>
<br/>
Wokal - krystaliczny (po wymianie kabla)<br/>
Średnica - słychać ruch powietrza podczas pompowania basu w perkusji, do tego holografia i elipsa wyczuwalne.<br/>
Bass - i tutaj zależy wszystko od utworu. Są utwory, które mają go tyle, że ma się wrażenie jakby gałki oczne miały wyfrunąć z zębami razem na zewnątrz, a czasem po prostu jest go tyle, że ledwo można go liznąć językiem. NIE SĄ TO SŁUCHAWKI DO MUZYKI TYPU TRANCE, HARDSTYLE - bo bass w nich jest na 3 planie, względem ostrych i wyraźnych vokali i średnicy, które w.w. gatunki lubią jednak mieć nieco ""wygładzone"". Przez to odbiór tychże wymienionych wydaje się w nich zimny, czasem za ""jasny"", za lekki w brzmieniu. Wszystko oczywiście zależy od DACa oraz wymienionego kabla, ale charakteru słuchawek to i tak nie zmieni. :) <br/>
<br/>
Polecam do wszystkich innych gatunków muzyki łącznie z utworami z lat 60, po wymianie kabla, nawet tamten okres wydaje się mieć zupełnie nową moc.<br/>
Nie polecam do gier, chyba że dysponujesz odpowiednio dobrą kartą dźwiękową (nie mówie o integrze, która to żadna 300 ohm nie uciągnie)<br/>
<br/>
Nie którzy narzekają na ""kocykowatość"" brzmienia. Bo mają źle dobrane źródło, oraz nie wymienili kabla :) Sama wymiana kabla już wyrzuca kocyk, a dobrze dobrane źródło - sprawia, że każdy utwór który słyszymy, jest jakby otoczeniem nas, jesteśmy w centrum koncertu z wszystkimi smaczkami, sykami, pstrykami, wychyleniami eliptycznymi zza głowy, graniem holograficznym - perkusja z lewej u góry, bass mruka z tyłu głowy, wokal - na wprost. Każdy utwór zaskakuję. <br/>
<br/>
Polecam DAC co najmniej cenowo równy Senków, lub najlepiej 2. krotnie droższy. Efekty są bardzo dobre. <br/>
Dobrze zgrywa się wcześniej wymieniony Aune T1 (MK3) oraz chociażby S6 :) ",5/5
0,"Nie będę wypisywał banialuk audiofilskich typu""bogata scena"",""szczodry bas"" czy ""nienaganna góra"",to zostawiam ekspertom:))) .Zdecydowanie lepsze niż Akg k702(które posiadałem-niekomfortowe w użytkowaniu,mają rozkalibrowany,nienaturalnie poszerzony do granic możliwosci dźwięk)Sennheiser HD 650 to bardzo dobre słuchawki,które w tej cenie nie mają konkurecnji(opinia subiektywna),są komfortowe,nie meczą swoją konstrukcją(lekko uciskaja na początku,ale bez przesady)...dźwięk jest taki jaki powinien-(prawie:)))),wydaje mi się tylko,że brakuje im delikatnie basu,pasmo 200-800hz (moge się mylić)jest lekko podbite,a od 6khz do 10-16kHz lekko obniżone...Nie zmienia to faktu,źe są warte w stosunku do swojej ceny i wszelakiej muzyki(słuchania,czy tworzenia,Tekkno:)))!!!<br/>
Zwieńczam swoją recenzję  kolejnym faktem,nie-nie potrzebują dodatkowego ampa by grać,zwykły laptop a nawet i tani  audio interfejs wystarczy...<br/>
","4,5/5"
0,"Słuchawki wykonane na najwyższym poziomie, grają pięknie na dobrym sprzęcie z dobrym wzmacniaczem. Jeżeli chodzi o pliki mp3 i inne ""brudy"" radziłbym nie kupować słuchawek. Grają świetnie z dźwiękiem w najlepszej jakości FLAC, WAV 16 - 44kHz, a jeszcze lepiej 24 - 96khz i wyżej. Obecnie słucham na przenośnym odtwarzaczu HifiMAN HM-601, który ma wbudowany świetny moduł wzmacniacza Burr-Brown OPA2107, który świetnie sobie radzi z 300 Ohm słuchawkami. Jak na pierwsze granie to jest rewelacja, a co będzie po wygrzaniu, napewno zdecydowanie lepiej. Nie wiem jak grają HD 800, ale ich cena odstrasza ok. 5000 PLN, a parametry bardzo podobne, różnica w wielkości przetwornika jest, a to też ma duże znaczenie. <br/>
Sennheiser HD 650 to naprawdę dobre słuchawki w eleganckim wydaniu. Dbałość o klienta jest tutaj na najwyższym poziomie. Polecam wszystkim, którzy cenią sobie wysokiej jakości dźwiek, audiofilom. ","4,5/5"
0,"Ponieważ posiadam zarówno ""650-tki"" jak również ""600-tki"" więc z pewnością bardziej wartościowa będzie opinia odnosząca się do różnic pomiędzy nimi...<br/>
<br/>
HD 650<br/>
- wyważona ilość sopranów, w niektórych utworach jakby lekko za mało, za to mamy przepiękny bas który w niektórych utoworach bije na głowę ""600-tki""<br/>
- przy głośnej muzyce ilość wszystkich dżwięków jest bardzo zrównoważona, wszystko jest pod pełną kontrolą<br/>
- ""mocniejsze i potężniejsze"" niż 600-tki (wyraźnie więcej basu, ale absolutnie nie za dużo)<br/>
- określił bym ich ""barwę"" jako ciepły-biały, sepia (delikatny, łagodny)<br/>
- pozwalają bardziej skupić się na całej linii melodycznej niż na poszczególnych instrumentach<br/>
- jednym słowem ""łagodne"", ale podłączone do dobrego sprzętu i na dobrze nagranych utworach pięknie potrafią pokazać ""pazur"" i zagrać wyraźnie lepiej od HD600<br/>
- dostępne od 2003 (jako następca HD 600)<br/>
<br/>
HD 600<br/>
- dużo przepięknych sopranów, czasem aż za dużo tak że w uszach dzwoni<br/>
- przy głośnej muzyce ilość wszystkich wysokich tonów potrafi być tak duża, że aż robi się ""bałagan""<br/>
- ""delikatniejsze i bardziej wrażliwe"" niż 650-tki<br/>
- określił bym ich ""barwę"" jako śnieżno-biała (momentami aż oślepiająca)<br/>
- pozwalają bardziej się skupić na poszczególnych instrumentach<br/>
- jednym słowem ""agresywne""<br/>
- dostępne od 1997 (jako następca HD 580)<br/>
<br/>
Podsumowanie:<br/>
- różnice pomiędzy 650/600 słychać jedynie w bezpośrednim porównaniu, lecz po chwili słuchania zatapiamy się w muzykę i zapominamy które z nich mamy na głowie :)<br/>
- jeżeli ktoś kocha muzykę to do pełni szczęścia zdecydowanie potrzebne mu będą oba modele -> HD600 i HD650 :)",5/5
0,ok,5/5
